Country/Region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.14,0.14,0.14,0.29,0.71,0.93,0.93,0.93,1.14,1.5,1.5,2.21,2.21,2.86,4.21,4.21,5.36,6.36,7.14,6.93,7.64,8.57,10.07,10.07,11.79,15.43,16.79,19.79,19.43,21.93,22.43,22.79,23.43,24.0,25.0,24.71,24.07,24.64,23.79,19.93,19.57,16.43,17.36,15.29,15.57,14.79,13.71,13.29,12.21,12.79,12.07,11.43,10.86,10.43,9.71,9.21,7.57,7.57,6.21,6.07,5.5,5.57,5.43,4.5,4.43,4.36,4.36,4.57,4.5,4.57,4.86,6.86,7.14,7.5,9.86,10.64,10.93,11.21,11.5,11.57,12.07,12.43,13.64,15.21,15.07,17.14,20.71
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.14
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.14,0.14,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.29,0.29,0.36,0.5,0.71,0.79,0.79,2.0,2.0,2.43,3.21,3.36,4.0,4.0,3.79,3.79,4.93,4.71,5.57,6.07,6.21,5.0,5.0,5.71,5.14,5.29,4.64,5.86,5.86,5.86,5.43,5.57,4.79,4.79,4.93,5.5,6.29,5.86,5.64,5.36,6.21,5.0,5.14,5.29,4.79,4.93,4.86,4.5,4.5,4.29,3.64,3.57
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.21,0.57,0.57,0.71,0.71,0.79,0.79,1.29,1.29,1.36,1.36,1.43,1.64,1.64,1.5,1.21,1.29,1.79,2.71,2.71,2.71,2.21,2.36,2.29,2.21,2.71,2.57,2.64,2.64,2.57,2.5,1.86,0.93,0.86,1.0,1.0,0.86,0.86,0.86,0.36,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.07,0.14,0.14,0.14,0.36,0.36,0.5,0.57
Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.29,0.29,0.29,0.5,1.93,1.93,1.93,2.57,2.57,3.57,3.57,3.57,3.93,3.93,3.71,3.71,4.14,4.36,2.86,3.36,3.36,2.86,2.86,1.86,1.93,1.93,1.57,1.64,1.64,1.64,1.21,0.79,0.79,0.29,0.29,0.14,0.29,0.29,0.21,0.21,0.21,0.14,0.14,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.21,0.21,0.36,0.5,0.79,1.14,1.71,1.86,2.5,3.43,5.86,10.14,12.71,14.86,19.36,21.14,25.14,27.57,32.0,33.86,36.57,39.57,43.79,46.21,49.14,47.71,47.43,47.93,45.57,46.86,45.79,45.14,42.36,40.79,38.07,36.43,34.21,32.36,33.43,34.79,34.5,33.57,32.71,31.64,29.36,28.57,27.5,27.64,19.57,20.29,18.36,17.86,11.93,8.0,6.64,5.21,4.14,2.5,1.86,1.29,2.93,2.57,10.5,9.29,9.0,8.86,9.14,9.36,9.14,9.93,10.64,11.43,12.0
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.14,0.14,0.21,0.21,0.36,0.5,1.36,2.43,3.57,4.14,5.43,9.93,14.43,23.86,34.43,47.71,56.79,62.29,78.14,94.71,102.43,112.21,127.14,135.07,136.5,145.57,151.14,153.71,152.0,147.07,143.29,140.57,133.64,121.5,118.71,115.57,102.79,95.07,93.14,80.64,75.29,68.36,62.0,57.71,53.29,51.07,46.29,44.29,39.29,33.71,31.5,31.57,31.21,31.0,28.29,24.29,23.0,19.64,19.57,19.29,15.86,14.07,13.86,12.57,11.86,11.64,11.36,10.93,9.64,9.36,8.64,8.43,8.64,8.5,8.43,8.57,8.64,7.86
MS Zaandam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.21,0.86,1.21,1.36,1.64,1.86,1.86,2.79,3.07,4.07,4.07,4.21,4.79,4.79,4.93,5.0,5.07,5.29,5.0,4.79,5.43,4.79,4.5,3.64,3.79,3.71,3.36,3.57,3.5,2.79,2.36,2.0,2.0,2.07,1.5,1.29,1.57,1.43,1.29,1.21,1.07,1.07,2.0,2.0,2.14,2.64,5.14,5.07,5.0,4.93,4.14,4.14,6.0,7.29,7.57,10.57,11.07,12.36,12.5,15.21,15.14,18.21
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.29,0.29,0.36,0.57,0.57,0.57,0.64,0.86,0.93,1.14,1.14,1.14,0.93,1.0,0.93,0.93,0.86,0.71,1.07,1.79,1.71,1.5,1.5,1.43,1.43,1.43,1.5,1.43,1.5,1.57,1.71,1.64,1.43,0.71,0.71,1.64,1.57,1.5,1.5,1.93,1.86,1.86,1.93,2.21,2.07,2.07,2.0,2.07,2.79
Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.86,0.86,0.93,0.86,1.0,1.0,0.79,0.79,0.79,1.0,1.0,1.0,0.86,0.71,0.71,0.71,0.43,0.43,0.29,0.29,0.29,0.29,0.29,0.21,0.5,0.5,1.0,2.0,2.0,4.36,5.07,5.5,6.79,7.64,9.07,9.0,12.43,15.21,28.5,38.36,45.5,52.86,60.71,67.64,77.86,86.21,100.07,106.79,117.64,134.43,140.29,148.71,145.86,147.14,149.5,151.29,158.29,164.5,164.29,168.29,162.5,167.07,165.93,156.93,156.07,157.86,158.07,156.5,158.64,154.57,147.57,137.0,130.14,123.36,116.57,108.5,100.93,98.21,96.07,86.57,78.36,71.64,61.71,62.36,58.57,58.57,62.21,64.93,66.29,64.36,64.0,61.71,60.29,60.5,62.57,64.71,63.64,59.57,58.36,56.0,49.71,42.57,42.0,42.5,41.5,42.29,43.0
Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.43,0.57,0.57,0.64,0.71,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.64,0.64,0.5,0.36,0.36,0.5,0.43,0.29,0.29,0.36,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.21,0.21,0.21,0.21,0.14,0.21,0.43,0.64,1.14,2.36,3.57,4.57,4.79,6.36,7.86,11.29,13.86,14.71,16.43,18.29,31.64,33.07,34.57,33.93,33.71,35.0,37.93,38.57,43.93,43.79,44.36,47.93,46.71,48.36,36.71,38.57,39.93,40.5,40.36,40.71,40.64,40.57,37.86
Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.29,0.79,1.29,1.29,1.79,2.0,2.21,2.57,2.79,2.93,3.21,3.36,4.0,4.07,5.0,5.43,4.93,6.21,7.0,8.29,8.36,9.64,9.43,12.5,12.79,14.21,14.43,16.71,16.79,17.0,20.21,20.29,20.36,20.0,23.86,22.79,24.07,23.43,24.21,23.86,25.29,24.14,24.36,24.5,23.0,22.5,21.71,21.86,19.71,20.64,21.29,20.79,21.21,21.0,20.64,21.43,21.21,21.5
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.21,0.36,0.43,0.43,0.86,1.29,1.5,2.14,2.71,2.71,3.79,4.57,5.0,6.21,7.43,7.5,8.79,9.14,9.07,9.36,9.29,9.0,9.36,10.71,10.21,9.86,10.0,9.79,9.57,13.07,12.14,14.5,15.07,15.79,16.21,16.29,16.0,15.07,15.43,15.71,15.21,14.29,13.57,10.71,10.36,7.71,6.93,5.57,5.0,4.71,4.64,4.57,3.79,3.21,3.0,3.57,3.5,2.79,2.86,2.93,3.0,3.0,3.43,3.79,3.43,3.21,4.07,4.64,5.57,5.43,5.57,6.21,7.14,8.07,7.93
