Date,Country/Region,value
2020-05-10,Albania,0.0
2020-05-11,Albania,0.0
2020-05-12,Albania,0.0
2020-05-13,Albania,0.0
2020-05-14,Albania,0.0
2020-05-15,Albania,0.0
2020-05-16,Albania,0.0
2020-05-17,Albania,0.0
2020-05-18,Albania,0.0
2020-05-19,Albania,0.0
2020-05-20,Albania,0.0
2020-05-21,Albania,0.0
2020-05-22,Albania,
2020-05-23,Albania,
2020-05-24,Albania,
2020-05-25,Albania,
2020-05-26,Albania,
2020-05-27,Albania,
2020-05-28,Albania,
2020-05-29,Albania,
2020-05-30,Albania,
2020-05-31,Albania,
2020-06-01,Albania,0.0
2020-06-02,Albania,0.0
2020-06-03,Albania,0.0
2020-06-04,Albania,0.0
2020-06-05,Albania,0.0
2020-06-06,Albania,0.0
2020-06-07,Albania,0.0
2020-06-08,Albania,0.0
2020-06-09,Albania,0.0
2020-06-10,Albania,0.0
2020-06-11,Albania,0.0
2020-06-12,Albania,0.0
2020-06-13,Albania,0.0
2020-06-14,Albania,0.0
2020-06-15,Albania,0.0
2020-06-16,Albania,0.0
2020-06-17,Albania,14.2857
2020-06-18,Albania,14.2857
2020-06-19,Albania,7.1429
2020-06-20,Albania,4.7619
2020-06-21,Albania,4.7619
2020-06-22,Albania,4.7619
2020-06-23,Albania,4.7619
2020-06-24,Albania,3.4483
2020-06-25,Albania,2.7778
2020-06-26,Albania,2.3256
2020-06-27,Albania,1.5625
2020-06-28,Albania,3.125
2020-06-29,Albania,2.8169
2020-06-30,Albania,2.8169
2020-07-01,Albania,3.7975
2020-07-02,Albania,3.2258
2020-07-03,Albania,3.0
2020-07-04,Albania,2.8037
2020-07-05,Albania,2.4793
2020-07-06,Albania,2.2059
2020-07-07,Albania,1.9108
2020-07-08,Albania,1.676
2020-07-09,Albania,1.0363
2020-07-10,Albania,0.9346
2020-07-11,Albania,0.9346
2020-07-12,Albania,0.905
2020-07-13,Albania,0.8734
2020-07-14,Albania,0.8
2020-07-15,Albania,1.1673
2020-07-16,Albania,1.1673
2020-07-17,Albania,1.2346
2020-07-18,Albania,1.2346
2020-07-19,Albania,1.1673
2020-07-20,Albania,1.107
2020-07-21,Albania,1.1364
2020-07-22,Albania,1.2
2020-07-23,Albania,1.1673
2020-07-24,Albania,1.2
2020-07-25,Albania,1.2
2020-07-26,Albania,1.5152
2020-07-27,Albania,1.5564
2020-01-22,Algeria,
2020-01-23,Algeria,
2020-01-24,Algeria,
2020-01-25,Algeria,
2020-01-26,Algeria,
2020-01-27,Algeria,
2020-01-28,Algeria,
2020-01-29,Algeria,
2020-01-30,Algeria,
2020-01-31,Algeria,
2020-02-01,Algeria,
2020-02-02,Algeria,
2020-02-03,Algeria,
2020-02-04,Algeria,
2020-02-05,Algeria,
2020-02-06,Algeria,
2020-02-07,Algeria,
2020-02-08,Algeria,
2020-02-09,Algeria,
2020-02-10,Algeria,
